steps,rewards
1000,0.0
2000,0.0
3000,0.0844921875
4000,0.10011718749999998
5000,0.0498828125
6000,0.015625
7000,0.044101562500000004
8000,0.09769531249999999
9000,0.053593749999999996
10000,0.053593749999999996
11000,0.0
12000,0.0
13000,0.0
14000,0.0
15000,0.0
16000,0.0
17000,0.0
18000,0.0
19000,0.0
20000,0.0
21000,0.0
22000,0.0
23000,0.0
24000,0.0
25000,0.0
26000,0.0
27000,0.0
28000,0.0
29000,0.0
30000,0.0
31000,0.0
32000,0.0
33000,0.0
34000,0.0
35000,0.0
36000,0.0
37000,0.058515625
38000,0.058515625
39000,0.058515625
40000,0.07660156249999998
41000,0.12632812499999999
42000,0.17429687499999996
43000,0.6733984375
44000,0.7577734375
45000,0.6008203125
46000,0.29609375
47000,0.1616796875
48000,0.19136718749999998
49000,0.1015625
50000,0.1340625
