steps,rewards
1000,-1.0
2000,-0.8251999999999999
3000,-1.0
4000,-0.836
5000,-1.0
6000,-0.6350999999999999
7000,-0.6369
8000,-0.12509999999999996
9000,-0.43149999999999994
10000,-0.0963
11000,-0.07740000000000002
12000,0.4802999999999999
13000,-0.043199999999999995
14000,0.7073
15000,0.1028
16000,0.9090999999999999
17000,0.30729999999999996
18000,0.5235
19000,0.6883999999999999
20000,0.5163
21000,0.7181
22000,0.6938000000000001
23000,0.5163
24000,0.8965
25000,0.9099999999999999
26000,0.8686
27000,0.8847999999999999
28000,0.874
29000,0.7064
30000,0.6956
31000,0.5271
32000,0.5361
33000,0.7253000000000001
34000,0.5064
35000,0.5154
36000,0.7154
37000,0.7127
38000,0.5001
39000,0.5279999999999999
40000,0.6785
41000,0.8533
42000,0.5217
43000,0.7235000000000001
44000,0.5316
45000,0.6910999999999999
46000,0.9046
47000,0.5181
48000,0.7135999999999999
49000,0.9046
50000,0.528
