steps,rewards
1000,0.025750000000000006
2000,0.03025
3000,0.0
4000,0.0
5000,0.0
6000,0.0
7000,0.0
8000,0.0
9000,0.04375
10000,0.046
11000,0.0
12000,0.0
13000,0.0605
14000,0.0
15000,0.11674999999999999
16000,0.33124999999999993
17000,0.10775000000000001
18000,0.21224999999999997
19000,0.34825
20000,0.71325
21000,0.62675
22000,0.692
23000,0.6875
24000,0.51
25000,0.7695000000000001
26000,0.42575
27000,0.6627500000000001
28000,0.60325
29000,0.5987500000000001
30000,0.519
31000,0.60775
32000,0.6155
33000,0.82675
34000,0.5740000000000001
35000,0.7245000000000001
36000,0.6515000000000001
37000,0.601
38000,0.783
39000,0.68525
40000,0.76275
41000,0.7155
42000,0.6605000000000001
43000,0.7582500000000001
44000,0.8200000000000001
45000,0.77175
46000,0.84925
47000,0.51225
48000,0.5672499999999999
49000,0.7785
50000,0.765
51000,0.68075
52000,0.774
53000,0.7695000000000001
54000,0.6875
55000,0.48975
56000,0.82675
57000,0.66725
58000,0.683
59000,0.765
60000,0.6627500000000001
61000,0.7245000000000001
62000,0.7515000000000001
63000,0.7492500000000001
64000,0.75825
65000,0.674
66000,0.8334999999999999
67000,0.81325
68000,0.6785000000000001
69000,0.756
70000,0.6717500000000001
