steps,rewards
1000,0.0
2000,0.23138020833333334
3000,0.2751953125
4000,0.1539453125
5000,0.103671875
6000,0.134921875
7000,0.2219140625
8000,0.140390625
9000,0.0998046875
10000,0.06675781249999999
11000,0.07816406249999999
12000,0.040039062499999986
13000,0.0
14000,0.0
15000,0.0
16000,0.0
17000,0.0
18000,0.0
19000,0.0
20000,0.0
21000,0.0
22000,0.0
23000,0.0
24000,0.0
25000,0.0
26000,0.025117187499999992
27000,0.025117187499999992
28000,0.025117187499999992
29000,0.0
30000,0.0
31000,0.0
32000,0.20910156249999998
33000,0.33999999999999997
34000,0.7071484375
35000,0.8583203125000001
36000,0.9022656250000001
37000,0.81703125
38000,0.447265625
39000,0.07257812500000001
40000,0.0
41000,0.0
42000,0.0
43000,0.0
44000,0.0
45000,0.0
46000,0.0
47000,0.0
48000,0.014218750000000002
49000,0.04722656249999999
50000,0.03300781249999999
