steps,rewards
1000,11.4
2000,11.7
3000,11.8
4000,16.9
5000,25.6
6000,51.3
7000,70.5
8000,83.2
9000,133.2
10000,157.9
11000,207.9
12000,246.0
13000,272.6
14000,237.5
15000,216.2
16000,225.6
17000,252.2
18000,261.4
19000,255.4
20000,244.1
21000,214.6
22000,212.7
23000,203.9
24000,186.2
25000,170.4
26000,167.7
27000,174.7
28000,171.6
29000,160.3
30000,161.6
31000,164.4
32000,160.7
33000,164.2
34000,179.3
35000,185.2
36000,175.3
37000,186.6
38000,195.1
39000,186.2
40000,189.5
41000,206.8
42000,206.3
43000,191.8
44000,187.3
45000,176.7
46000,176.6
47000,199.1
48000,205.4
49000,174.2
50000,165.8
51000,174.7
52000,190.3
53000,172.9
54000,172.9
55000,194.6
56000,203.8
57000,183.6
58000,181.5
59000,183.3
60000,174.2
61000,169.8
62000,168.7
63000,191.0
64000,179.4
65000,165.7
66000,153.0
67000,162.9
68000,159.6
69000,161.9
70000,176.7
71000,176.1
72000,194.1
73000,196.9
74000,172.6
75000,180.3
76000,167.8
77000,154.1
78000,166.4
79000,156.6
80000,157.0
81000,161.7
82000,165.3
83000,165.5
84000,168.4
85000,165.7
86000,173.9
87000,153.9
88000,159.2
89000,173.9
90000,168.5
91000,161.6
92000,149.3
93000,158.1
94000,155.6
95000,158.2
96000,172.5
97000,174.7
98000,160.0
99000,166.9
100000,157.6
