steps,rewards
1000,0.374375
2000,0.543125
3000,0.713125
4000,0.790625
5000,0.9556250000000001
6000,0.9481249999999999
7000,0.9450000000000001
8000,0.9650000000000001
9000,0.9581250000000001
10000,0.9712500000000001
11000,0.9668749999999999
12000,0.9587499999999999
13000,0.9643749999999999
14000,0.96875
15000,0.9668750000000002
16000,0.9724999999999999
17000,0.9756249999999997
18000,0.9712500000000001
19000,0.9731249999999999
20000,0.9725000000000001
21000,0.9700000000000001
22000,0.9668750000000002
23000,0.9662499999999999
24000,0.9668749999999999
25000,0.97
26000,0.975
27000,0.9662499999999999
28000,0.9806250000000001
29000,0.9737500000000001
30000,0.9718749999999998
