steps,rewards
1000,0.0
2000,0.0
3000,0.0
4000,0.0
5000,0.0
6000,0.0
7000,0.0
8000,0.0
9000,0.0
10000,0.0
11000,0.0
12000,0.052119999999999986
13000,0.052119999999999986
14000,0.0
15000,0.0
16000,0.0
17000,0.0
18000,0.0
19000,0.0
20000,0.0
21000,0.0
22000,0.0
23000,0.02691999999999999
24000,0.02691999999999999
25000,0.02691999999999999
26000,0.0
27000,0.0
28000,0.0
29000,0.0
30000,0.0
31000,0.0
32000,0.0
33000,0.0
34000,0.0
35000,0.0
36000,0.06364
37000,0.06364
38000,0.03304
39000,0.03304
40000,0.03304
41000,0.0
42000,0.0
43000,0.07228
44000,0.07228
45000,0.0
46000,0.0
47000,0.0
48000,0.11000000000000001
49000,0.183
50000,0.0974
51000,0.0
52000,0.0
53000,0.0668
54000,0.08436
55000,0.15736
56000,0.12611999999999998
57000,0.10855999999999999
58000,0.027639999999999998
59000,0.09263999999999999
60000,0.06499999999999999
61000,0.14455999999999997
62000,0.16976
63000,0.14636
64000,0.06939999999999999
65000,0.0
66000,0.0
67000,0.0
68000,0.04708
69000,0.18516
70000,0.19848
71000,0.34663999999999995
72000,0.28623999999999994
73000,0.18552
74000,0.34736
75000,0.24924
76000,0.17364
77000,0.08947999999999999
78000,0.25851999999999997
79000,0.53772
80000,0.33764000000000005
