steps,rewards
1000,0.335546875
2000,0.23580729166666664
3000,0.1614453125
4000,0.14406249999999998
5000,0.04796874999999999
6000,0.0
7000,0.0
8000,0.0
9000,0.0
10000,0.0
11000,0.0
12000,0.0
13000,0.0
14000,0.0
15000,0.0
16000,0.0
17000,0.0
18000,0.0
19000,0.0
20000,0.0
21000,0.0
22000,0.0
23000,0.0
24000,0.0
25000,0.0
26000,0.0
27000,0.0785546875
28000,0.1822265625
29000,0.103671875
30000,0.0
31000,0.0
32000,0.0
33000,0.023359374999999995
34000,0.3927734375
35000,0.36941406250000003
36000,0.18980468749999999
37000,0.33371093749999997
38000,0.346875
39000,0.15339843749999998
40000,0.0
41000,0.39609375
42000,0.6310546875
43000,0.6379296875
44000,0.3553515625
45000,0.0
46000,0.0
47000,0.07890625
48000,0.1541015625
49000,0.24476562499999996
50000,0.1695703125
51000,0.0690625
52000,0.84671875
53000,0.7280859375
54000,0.374296875
55000,0.36886718749999997
56000,0.5871484375
57000,0.65109375
58000,0.8164843749999999
59000,0.9578124999999998
60000,0.9019140625000001
61000,0.9346093750000002
62000,0.930390625
63000,0.9208984375
64000,0.68921875
65000,0.9001562499999999
66000,0.9528906249999999
67000,0.9398828124999999
68000,0.9395312499999999
69000,0.94234375
70000,0.92265625
71000,0.9022656249999998
72000,0.9398828124999999
73000,0.7363671875
74000,0.951484375
75000,0.8550000000000001
76000,0.7836328124999999
77000,0.954296875
78000,0.9539453125000001
79000,0.9578124999999998
80000,0.9571093749999999
