steps,rewards
1000,22.7
2000,18.8
3000,17.8
4000,23.6
5000,35.8
6000,30.8
7000,26.0
8000,39.0
9000,39.2
10000,75.7
11000,64.2
12000,92.2
13000,144.8
14000,110.3
15000,104.7
16000,106.2
17000,136.2
18000,94.6
19000,94.7
20000,114.5
21000,123.3
22000,120.5
23000,105.7
24000,72.1
25000,100.0
26000,113.3
27000,133.1
28000,119.5
29000,138.2
30000,113.3
31000,91.5
32000,133.8
33000,139.2
34000,130.6
35000,103.8
36000,134.6
37000,136.3
38000,119.6
39000,163.0
40000,193.6
41000,203.9
42000,229.7
43000,254.9
44000,138.4
45000,98.3
46000,92.0
47000,113.4
48000,161.7
49000,151.7
50000,134.6
51000,115.9
52000,135.2
53000,131.6
54000,99.6
55000,116.9
56000,156.6
57000,113.0
58000,117.0
59000,164.5
60000,170.3
61000,133.7
62000,125.2
63000,154.2
64000,156.7
65000,183.6
66000,180.4
67000,177.7
68000,202.1
69000,264.5
70000,264.6
71000,312.5
72000,281.3
73000,322.5
74000,332.6
75000,331.7
76000,329.9
77000,317.3
78000,322.9
79000,360.0
80000,385.5
81000,386.1
82000,410.5
83000,365.8
84000,400.5
85000,421.1
86000,399.8
87000,389.4
88000,389.4
89000,372.8
90000,407.4
91000,413.7
92000,403.7
93000,394.7
94000,394.7
95000,431.4
96000,464.4
97000,439.7
98000,435.0
99000,395.9
100000,333.6
101000,341.6
102000,373.8
103000,399.1
104000,455.6
105000,454.0
106000,408.7
107000,312.1
108000,314.6
109000,347.4
110000,374.4
111000,411.6
112000,472.9
113000,426.7
114000,418.4
115000,408.5
116000,384.4
117000,420.7
118000,442.6
119000,403.8
120000,383.5
121000,403.2
122000,403.2
123000,403.2
124000,451.9
125000,500.0
126000,500.0
127000,500.0
128000,500.0
129000,500.0
130000,500.0
131000,449.4
132000,421.5
133000,338.2
134000,338.2
135000,388.8
136000,416.7
137000,424.3
138000,400.3
139000,400.3
140000,400.3
141000,424.0
142000,476.0
143000,500.0
144000,500.0
145000,500.0
146000,500.0
147000,500.0
148000,500.0
149000,500.0
150000,500.0
151000,451.2
152000,451.2
153000,451.2
154000,451.2
155000,451.2
156000,456.0
157000,456.0
158000,456.0
159000,456.0
160000,456.0
161000,462.8
162000,397.4
163000,390.5
164000,373.9
165000,377.0
166000,411.1
167000,476.5
168000,452.9
169000,469.5
170000,442.3
171000,428.5
172000,428.5
173000,437.1
174000,437.1
175000,442.7
176000,410.5
177000,432.4
178000,432.4
179000,403.3
180000,445.9
181000,470.9
182000,465.8
183000,465.8
184000,494.9
185000,494.9
186000,494.9
187000,500.0
188000,498.0
189000,498.0
190000,498.0
191000,498.0
192000,457.5
193000,459.5
194000,427.0
195000,410.4
196000,406.3
197000,367.0
198000,337.5
199000,354.5
200000,354.5
