steps,rewards
1000,20.4
2000,24.1
3000,35.0
4000,37.6
5000,85.7
6000,114.7
7000,148.5
8000,175.2
9000,219.2
10000,245.5
11000,217.2
12000,213.9
13000,221.3
14000,212.2
15000,211.9
16000,201.2
17000,203.4
18000,208.9
19000,206.9
20000,215.8
21000,231.4
22000,253.8
23000,245.3
24000,228.6
25000,236.2
26000,211.3
27000,145.0
28000,129.6
29000,124.7
30000,123.9
31000,121.4
32000,120.7
33000,118.6
34000,124.0
35000,124.6
36000,130.8
37000,130.3
38000,136.1
39000,138.8
40000,138.8
41000,137.5
42000,143.4
43000,170.5
44000,171.7
45000,165.5
46000,170.3
47000,176.4
48000,169.0
49000,190.4
50000,190.6
51000,177.8
52000,183.4
53000,172.7
54000,167.0
55000,160.1
56000,138.2
57000,133.3
58000,143.9
59000,161.6
60000,144.3
61000,134.1
62000,134.3
63000,152.9
64000,159.8
65000,158.2
66000,134.7
67000,148.4
68000,158.0
69000,144.8
70000,137.9
71000,132.3
72000,144.0
73000,150.3
74000,154.9
75000,146.3
76000,140.0
77000,147.1
78000,165.3
79000,175.5
80000,162.5
81000,168.2
82000,176.8
83000,173.6
84000,139.0
85000,143.9
86000,162.1
87000,178.6
88000,179.8
89000,193.7
90000,201.1
91000,186.6
92000,188.0
93000,209.7
94000,203.5
95000,165.5
96000,173.1
97000,213.9
98000,235.7
99000,208.5
100000,194.8
101000,185.8
102000,189.7
103000,185.4
104000,165.2
105000,153.6
106000,156.5
107000,155.2
108000,144.9
109000,158.1
110000,159.1
111000,157.8
112000,148.9
113000,159.5
114000,181.9
115000,219.1
116000,232.1
117000,233.2
118000,203.7
119000,199.3
120000,226.7
121000,268.2
122000,288.8
123000,328.9
124000,305.2
125000,250.5
126000,276.5
127000,286.8
128000,328.0
129000,260.6
130000,247.8
131000,270.8
132000,300.2
133000,219.5
134000,185.3
135000,247.2
136000,310.6
137000,341.2
138000,161.7
139000,166.4
140000,168.1
141000,183.7
142000,191.6
143000,181.2
144000,207.9
145000,249.0
146000,306.7
147000,369.0
148000,429.2
149000,474.2
150000,494.5
151000,500.0
152000,500.0
153000,472.5
154000,436.1
155000,436.1
156000,427.0
157000,444.0
158000,454.5
159000,490.9
160000,490.9
161000,500.0
162000,500.0
163000,500.0
164000,500.0
165000,500.0
166000,500.0
167000,500.0
168000,500.0
169000,500.0
170000,500.0
171000,500.0
172000,497.6
173000,324.7
174000,278.4
175000,262.8
176000,303.1
177000,394.8
178000,442.3
179000,482.0
180000,500.0
181000,500.0
182000,465.6
183000,287.5
184000,203.2
185000,209.1
186000,242.1
187000,303.1
188000,361.4
189000,421.4
190000,474.4
191000,500.0
192000,500.0
193000,500.0
194000,500.0
195000,500.0
196000,500.0
197000,500.0
198000,500.0
199000,473.7
200000,409.9
