steps,rewards
1000,18.3
2000,20.4
3000,23.0
4000,60.9
5000,93.0
6000,142.0
7000,186.2
8000,209.1
9000,206.6
10000,233.5
11000,253.5
12000,239.5
13000,175.5
14000,143.1
15000,140.8
16000,141.7
17000,137.0
18000,125.8
19000,125.3
20000,118.1
21000,120.0
22000,127.1
23000,132.6
24000,162.1
25000,166.2
26000,160.1
27000,165.4
28000,196.8
29000,175.1
30000,149.8
31000,170.0
32000,169.1
33000,142.7
34000,148.9
35000,162.8
36000,164.1
37000,171.1
38000,194.4
39000,177.9
40000,171.6
41000,166.4
42000,184.4
43000,183.4
44000,170.4
45000,175.9
46000,174.7
47000,176.4
48000,152.9
49000,163.6
50000,179.0
51000,150.2
52000,183.2
53000,185.7
54000,144.4
55000,138.3
56000,150.5
57000,159.3
58000,152.8
59000,157.1
60000,176.0
61000,178.2
62000,180.0
63000,181.6
64000,167.4
65000,179.9
66000,204.0
67000,251.4
68000,304.6
69000,280.5
70000,218.5
71000,274.5
72000,283.7
73000,297.9
74000,227.5
75000,179.9
76000,173.1
77000,228.6
78000,261.8
79000,269.6
80000,260.6
81000,259.2
82000,219.8
83000,166.4
84000,153.5
85000,161.9
86000,205.6
87000,232.2
88000,228.4
89000,240.1
90000,254.5
91000,279.1
92000,282.5
93000,348.3
94000,369.0
95000,288.7
96000,271.0
97000,301.8
98000,315.6
99000,403.7
100000,426.2
101000,423.3
102000,402.9
103000,381.7
104000,354.0
105000,361.1
106000,395.7
107000,405.6
108000,413.3
109000,448.5
110000,454.7
111000,451.9
112000,478.5
113000,466.1
114000,466.1
115000,473.6
116000,476.1
117000,476.1
118000,500.0
119000,500.0
120000,482.4
121000,482.4
122000,482.4
123000,482.4
124000,482.4
125000,500.0
126000,500.0
127000,500.0
128000,477.7
129000,477.4
130000,444.1
131000,444.1
132000,413.4
133000,383.2
134000,370.0
135000,370.0
136000,401.4
137000,442.7
138000,477.4
139000,455.1
140000,455.1
141000,443.0
142000,434.5
143000,434.5
144000,395.7
145000,219.1
146000,199.3
147000,209.3
148000,214.4
149000,251.6
150000,299.4
151000,327.1
152000,306.0
153000,295.7
154000,318.7
155000,346.3
156000,392.0
157000,446.3
158000,453.9
159000,453.0
160000,412.0
161000,390.0
162000,405.0
163000,335.0
164000,301.3
165000,290.1
166000,316.5
167000,353.8
168000,341.5
169000,376.0
170000,394.3
171000,436.1
172000,472.3
173000,494.4
174000,494.4
175000,500.0
176000,500.0
177000,479.2
178000,479.2
179000,473.3
180000,468.8
181000,460.5
182000,481.3
183000,481.3
184000,487.2
185000,491.7
186000,500.0
187000,500.0
188000,500.0
189000,500.0
190000,500.0
191000,500.0
192000,473.4
193000,473.4
194000,473.4
195000,473.4
196000,475.5
197000,500.0
198000,500.0
199000,482.1
200000,482.1
